egg|egg|egg|egg|egg|egg	0	18	18	0	36	0	0	126	-18	0	0	0	72	0	0	0	0	216	0	0	216	0	0	216	0	0	0	216	0	216	0	0	216
rice|egg|egg|egg|egg|egg	1	18	15	0	30	0	0	105	-15	0	21	-3	72	0	0	30	30	210	0	0	180	0	0	180	30	30	0	210	0	180	0	0	180
jalapelo|egg|egg|egg|egg|egg	6	15	15	15	30	12	-3	105	6	0	-15	0	60	0	0	0	0	180	0	0	201	0	0	180	0	0	0	201	0	180	0	0	201
potato_tortilla|egg|egg|egg|egg|egg	1	18	18	1	34	0	21	105	-15	12	0	0	57	0	0	0	20	180	20	0	200	0	20	180	20	0	0	200	20	180	20	0	200
lettuce|egg|egg|egg|egg|egg	0	18	21	0	30	0	12	105	-15	-3	0	0	81	0	0	0	0	180	0	0	180	0	0	180	0	0	0	198	0	180	0	0	180
cheese|egg|egg|egg|egg|egg	0	18	15	0	39	0	6	111	-9	0	0	0	54	0	0	15	15	195	15	15	195	15	15	195	15	15	15	195	15	195	15	15	195
basil|egg|egg|egg|egg|egg	4	15	31	0	34	8	0	105	-15	8	0	0	52	0	0	0	0	180	0	0	180	0	0	180	4	4	4	184	4	184	4	4	184
egg|egg|egg|egg|egg	0	15	15	0	30	0	0	105	-15	0	0	0	60	0	0	0	0	180	0	0	180	0	0	180	0	0	0	180	0	180	0	0	180
rice|rice|egg|egg|egg|egg	2	18	12	0	24	0	0	84	-12	0	42	-6	72	0	0	60	60	204	0	0	144	0	0	144	60	60	0	204	0	144	0	0	144
jalapelo|rice|egg|egg|egg|egg	7	15	12	15	24	12	-3	84	9	0	6	-3	60	0	0	30	30	174	0	0	165	0	0	144	30	30	0	195	0	144	0	0	165
potato_tortilla|rice|egg|egg|egg|egg	2	18	15	1	28	0	21	84	-12	12	21	-3	57	0	0	30	50	174	20	0	164	0	20	144	50	30	0	194	20	144	20	0	164
lettuce|rice|egg|egg|egg|egg	1	18	18	0	24	0	12	84	-12	-3	21	-3	81	0	0	30	30	174	0	0	144	0	0	144	30	30	0	192	0	144	0	0	144
cheese|rice|egg|egg|egg|egg	1	18	12	0	33	0	6	90	-6	0	21	-3	54	0	0	45	45	189	15	15	159	15	15	159	45	45	15	189	15	159	15	15	159
jalapelo|jalapelo|egg|egg|egg|egg	12	12	12	30	24	24	-6	84	30	0	-30	0	48	0	0	0	0	144	0	0	186	0	0	144	0	0	0	186	0	144	0	0	186
potato_tortilla|jalapelo|egg|egg|egg|egg	7	15	15	16	28	12	18	84	9	12	-15	0	45	0	0	0	20	144	20	0	185	0	20	144	20	0	0	185	20	144	20	0	185
lettuce|jalapelo|egg|egg|egg|egg	6	15	18	15	24	12	9	84	9	-3	-15	0	69	0	0	0	0	144	0	0	165	0	0	144	0	0	0	183	0	144	0	0	165
potato_tortilla|potato_tortilla|egg|egg|egg|egg	2	18	18	2	32	0	42	84	-12	24	0	0	42	0	0	0	40	144	40	0	184	0	40	144	40	0	0	184	40	144	40	0	184
lettuce|potato_tortilla|egg|egg|egg|egg	1	18	21	1	28	0	33	84	-12	9	0	0	66	0	0	0	20	144	20	0	164	0	20	144	20	0	0	182	20	144	20	0	164
lettuce|lettuce|egg|egg|egg|egg	0	18	24	0	24	0	24	84	-12	-6	0	0	90	0	0	0	0	144	0	0	144	0	0	144	0	0	0	180	0	144	0	0	144
rice|rice|rice|egg|egg|egg	3	18	9	0	18	0	0	63	-9	0	63	-9	72	0	0	90	90	198	0	0	108	0	0	108	90	90	0	198	0	108	0	0	108
jalapelo|rice|rice|egg|egg|egg	8	15	9	15	18	12	-3	63	12	0	27	-6	60	0	0	60	60	168	0	0	129	0	0	108	60	60	0	189	0	108	0	0	129
potato_tortilla|rice|rice|egg|egg|egg	3	18	12	1	22	0	21	63	-9	12	42	-6	57	0	0	60	80	168	20	0	128	0	20	108	80	60	0	188	20	108	20	0	128
lettuce|rice|rice|egg|egg|egg	2	18	15	0	18	0	12	63	-9	-3	42	-6	81	0	0	60	60	168	0	0	108	0	0	108	60	60	0	186	0	108	0	0	108
cheese|rice|rice|egg|egg|egg	2	18	9	0	27	0	6	69	-3	0	42	-6	54	0	0	75	75	183	15	15	123	15	15	123	75	75	15	183	15	123	15	15	123
jalapelo|jalapelo|rice|egg|egg|egg	13	12	9	30	18	24	-6	63	33	0	-9	-3	48	0	0	30	30	138	0	0	150	0	0	108	30	30	0	180	0	108	0	0	150
rice|rice|rice|rice|egg|egg	4	18	6	0	12	0	0	42	-6	0	84	-12	72	0	0	120	120	192	0	0	72	0	0	72	120	120	0	192	0	72	0	0	72
jalapelo|rice|rice|rice|egg|egg	9	15	6	15	12	12	-3	42	15	0	48	-9	60	0	0	90	90	162	0	0	93	0	0	72	90	90	0	183	0	72	0	0	93
potato_tortilla|rice|rice|rice|egg|egg	4	18	9	1	16	0	21	42	-6	12	63	-9	57	0	0	90	110	162	20	0	92	0	20	72	110	90	0	182	20	72	20	0	92
lettuce|rice|rice|rice|egg|egg	3	18	12	0	12	0	12	42	-6	-3	63	-9	81	0	0	90	90	162	0	0	72	0	0	72	90	90	0	180	0	72	0	0	72
rice|rice|rice|rice|rice|egg	5	18	3	0	6	0	0	21	-3	0	105	-15	72	0	0	150	150	186	0	0	36	0	0	36	150	150	0	186	0	36	0	0	36
rice|rice|rice|rice|rice|rice	6	18	0	0	0	0	0	0	0	0	126	-18	72	0	0	180	180	180	0	0	0	0	0	0	180	180	0	180	0	0	0	0	0
