egg|egg|egg|egg|egg|egg	0	18	18	0	36	0	0	126	-18	0	0	0	72	0	0	0	0	216	0	0	216	0	0	216	0	0	0	216	0	216	0	0	216
rice|egg|egg|egg|egg|egg	1	18	15	0	30	0	0	105	-15	0	21	-3	72	0	0	30	30	210	0	0	180	0	0	180	30	30	0	210	0	180	0	0	180
apple|egg|egg|egg|egg|egg	9	27	18	0	30	12	-3	105	6	0	-15	0	60	0	0	0	0	201	0	0	180	0	0	201	0	0	0	180	0	201	0	0	180
fired_fillet|egg|egg|egg|egg|egg	0	17	18	0	33	0	21	105	-15	12	0	0	57	0	0	20	0	200	0	20	180	20	0	200	0	20	20	180	0	200	0	20	180
proscuitto|egg|egg|egg|egg|egg	3	21	15	0	42	0	12	105	-15	-3	0	0	81	0	0	0	0	198	0	0	180	0	0	180	0	0	0	180	0	180	0	0	180
cheese|egg|egg|egg|egg|egg	0	18	15	0	39	0	6	111	-9	0	0	0	54	0	0	15	15	195	15	15	195	15	15	195	15	15	15	195	15	195	15	15	195
watercress|egg|egg|egg|egg|egg	6	15	30	3	33	6	0	105	-15	6	0	0	54	0	0	3	3	183	3	3	183	3	3	183	0	0	0	180	0	180	0	0	180
egg|egg|egg|egg|egg	0	15	15	0	30	0	0	105	-15	0	0	0	60	0	0	0	0	180	0	0	180	0	0	180	0	0	0	180	0	180	0	0	180
rice|rice|egg|egg|egg|egg	2	18	12	0	24	0	0	84	-12	0	42	-6	72	0	0	60	60	204	0	0	144	0	0	144	60	60	0	204	0	144	0	0	144
apple|rice|egg|egg|egg|egg	10	27	15	0	24	12	-3	84	9	0	6	-3	60	0	0	30	30	195	0	0	144	0	0	165	30	30	0	174	0	165	0	0	144
fired_fillet|rice|egg|egg|egg|egg	1	17	15	0	27	0	21	84	-12	12	21	-3	57	0	0	50	30	194	0	20	144	20	0	164	30	50	20	174	0	164	0	20	144
proscuitto|rice|egg|egg|egg|egg	4	21	12	0	36	0	12	84	-12	-3	21	-3	81	0	0	30	30	192	0	0	144	0	0	144	30	30	0	174	0	144	0	0	144
cheese|rice|egg|egg|egg|egg	1	18	12	0	33	0	6	90	-6	0	21	-3	54	0	0	45	45	189	15	15	159	15	15	159	45	45	15	189	15	159	15	15	159
apple|apple|egg|egg|egg|egg	18	36	18	0	24	24	-6	84	30	0	-30	0	48	0	0	0	0	186	0	0	144	0	0	186	0	0	0	144	0	186	0	0	144
fired_fillet|apple|egg|egg|egg|egg	9	26	18	0	27	12	18	84	9	12	-15	0	45	0	0	20	0	185	0	20	144	20	0	185	0	20	20	144	0	185	0	20	144
proscuitto|apple|egg|egg|egg|egg	12	30	15	0	36	12	9	84	9	-3	-15	0	69	0	0	0	0	183	0	0	144	0	0	165	0	0	0	144	0	165	0	0	144
fired_fillet|fired_fillet|egg|egg|egg|egg	0	16	18	0	30	0	42	84	-12	24	0	0	42	0	0	40	0	184	0	40	144	40	0	184	0	40	40	144	0	184	0	40	144
proscuitto|fired_fillet|egg|egg|egg|egg	3	20	15	0	39	0	33	84	-12	9	0	0	66	0	0	20	0	182	0	20	144	20	0	164	0	20	20	144	0	164	0	20	144
proscuitto|proscuitto|egg|egg|egg|egg	6	24	12	0	48	0	24	84	-12	-6	0	0	90	0	0	0	0	180	0	0	144	0	0	144	0	0	0	144	0	144	0	0	144
rice|rice|rice|egg|egg|egg	3	18	9	0	18	0	0	63	-9	0	63	-9	72	0	0	90	90	198	0	0	108	0	0	108	90	90	0	198	0	108	0	0	108
apple|rice|rice|egg|egg|egg	11	27	12	0	18	12	-3	63	12	0	27	-6	60	0	0	60	60	189	0	0	108	0	0	129	60	60	0	168	0	129	0	0	108
fired_fillet|rice|rice|egg|egg|egg	2	17	12	0	21	0	21	63	-9	12	42	-6	57	0	0	80	60	188	0	20	108	20	0	128	60	80	20	168	0	128	0	20	108
proscuitto|rice|rice|egg|egg|egg	5	21	9	0	30	0	12	63	-9	-3	42	-6	81	0	0	60	60	186	0	0	108	0	0	108	60	60	0	168	0	108	0	0	108
cheese|rice|rice|egg|egg|egg	2	18	9	0	27	0	6	69	-3	0	42	-6	54	0	0	75	75	183	15	15	123	15	15	123	75	75	15	183	15	123	15	15	123
apple|apple|rice|egg|egg|egg	19	36	15	0	18	24	-6	63	33	0	-9	-3	48	0	0	30	30	180	0	0	108	0	0	150	30	30	0	138	0	150	0	0	108
rice|rice|rice|rice|egg|egg	4	18	6	0	12	0	0	42	-6	0	84	-12	72	0	0	120	120	192	0	0	72	0	0	72	120	120	0	192	0	72	0	0	72
apple|rice|rice|rice|egg|egg	12	27	9	0	12	12	-3	42	15	0	48	-9	60	0	0	90	90	183	0	0	72	0	0	93	90	90	0	162	0	93	0	0	72
fired_fillet|rice|rice|rice|egg|egg	3	17	9	0	15	0	21	42	-6	12	63	-9	57	0	0	110	90	182	0	20	72	20	0	92	90	110	20	162	0	92	0	20	72
proscuitto|rice|rice|rice|egg|egg	6	21	6	0	24	0	12	42	-6	-3	63	-9	81	0	0	90	90	180	0	0	72	0	0	72	90	90	0	162	0	72	0	0	72
rice|rice|rice|rice|rice|egg	5	18	3	0	6	0	0	21	-3	0	105	-15	72	0	0	150	150	186	0	0	36	0	0	36	150	150	0	186	0	36	0	0	36
rice|rice|rice|rice|rice|rice	6	18	0	0	0	0	0	0	0	0	126	-18	72	0	0	180	180	180	0	0	0	0	0	0	180	180	0	180	0	0	0	0	0
